Address,Price,Link,Bedrooms,Bathrooms,SQFT
"849 N June St, Los Angeles, CA 90038","$1,725,000",https://www.zillow.com/homedetails/849-N-June-St-Los-Angeles-CA-90038/20783494_zpid/,3,2,"2,263"
"1239 Gordon St, Los Angeles, CA 90038","$1,991,000",https://www.zillow.com/homedetails/1239-Gordon-St-Los-Angeles-CA-90038/20789441_zpid/,12,6,"4,119"
"6416 La Mirada Ave, Los Angeles, CA 90038","$2,200,000",https://www.zillow.com/homedetails/6416-La-Mirada-Ave-Los-Angeles-CA-90038/250337477_zpid/,6,7,"4,790"
"6918 Willoughby Ave, Los Angeles, CA 90038","$1,800,000",https://www.zillow.com/homedetails/6918-Willoughby-Ave-Los-Angeles-CA-90038/20783406_zpid/,2,2,"1,898"
"5666 W Lexington Ave #1, Los Angeles, CA 90038","$2,450,000",https://www.zillow.com/homedetails/5666-W-Lexington-Ave-1-Los-Angeles-CA-90038/2070818913_zpid/,5,1,"2,799"
"5918 Barton Ave, Los Angeles, CA 90038","$1,995,000",https://www.zillow.com/homedetails/5918-Barton-Ave-Los-Angeles-CA-90038/250337516_zpid/,8,8,"3,964"
"1140 N Beachwood Dr, Los Angeles, CA 90038","$2,175,000",https://www.zillow.com/homedetails/1140-N-Beachwood-Dr-Los-Angeles-CA-90038/2065734853_zpid/,2,10,"5,343"
"833 N Las Palmas Ave, Los Angeles, CA 90038","$2,200,000",https://www.zillow.com/homedetails/833-N-Las-Palmas-Ave-Los-Angeles-CA-90038/20783452_zpid/,,,
"1252 N Mansfield Ave, Los Angeles, CA 90038","$2,875,000",https://www.zillow.com/homedetails/1252-N-Mansfield-Ave-Los-Angeles-CA-90038/2094285257_zpid/,11,8,"6,750"
"1141 Pine Point Rd, Riviera Beach, FL 33404","$3,100,000",https://www.zillow.com/homedetails/1141-Pine-Point-Rd-Riviera-Beach-FL-33404/46870172_zpid/,4,3,"3,662"
"167 W 37th St, Riviera Beach, FL 33404","$253,000",https://www.zillow.com/homedetails/167-W-37th-St-Riviera-Beach-FL-33404/46874092_zpid/,3,1,980
"825 W 5th St, Riviera Beach, FL 33404","$225,000",https://www.zillow.com/homedetails/825-W-5th-St-Riviera-Beach-FL-33404/46878264_zpid/,3,1,"1,140"
"114 W 18th St, Riviera Beach, FL 33404","$269,000",https://www.zillow.com/homedetails/114-W-18th-St-Riviera-Beach-FL-33404/46877816_zpid/,2,1,912
"117 W 17th St #A & B, West Palm Beach, FL 33404","$475,000",https://www.zillow.com/homedetails/117-W-17th-St-A-B-West-Palm-Beach-FL-33404/345444361_zpid/,7,2,"1,365"
"3600 N Ocean Dr APT 101, Riviera Beach, FL 33404","$299,000",https://www.zillow.com/homedetails/3600-N-Ocean-Dr-APT-101-Riviera-Beach-FL-33404/46871542_zpid/,1,1,620
"1094 W 27th St, Riviera Beach, FL 33404","$364,900",https://www.zillow.com/homedetails/1094-W-27th-St-Riviera-Beach-FL-33404/46875836_zpid/,3,2,"1,412"
"216 E 24th St, Riviera Beach, FL 33404","$450,000",https://www.zillow.com/homedetails/216-E-24th-St-Riviera-Beach-FL-33404/46873275_zpid/,3,2,"1,032"
